
Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 13:48:23 2022
Timers Off: Wed Jul 20 13:48:31 2022

Wall Time:        8.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: initialize()                   :      0.833u      0.083s      0.293w     24 calls
DFH: AO Construction                :      0.267u      0.000s      0.071w     24 calls
DFH: AO-Met. Contraction            :      0.083u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.117u      0.000s      0.032w     24 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     24 calls
HF: Guess                           :      0.783u      0.017s      0.249w     24 calls
SAD Guess                           :      0.733u      0.017s      0.237w     21 calls
HF: Form G                          :      0.150u      0.000s      0.046w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.150u      0.000s      0.043w    208 calls
DFH: compute_JK()                   :      0.150u      0.000s      0.042w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.000u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.117u      0.000s      0.033w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.017s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.367u      0.033s      0.100w    187 calls
DIISManager::add_entry              :      0.017u      0.017s      0.010w    184 calls
DIISManager::extrapolate            :      0.017u      0.017s      0.008w    184 calls
bMatrix setup                       :      0.000u      0.017s      0.003w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.183u      0.000s      0.042w    187 calls
Grad: V T Perturb                   :      1.517u      0.050s      0.471w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.033u      0.100s      0.634w     24 calls
JKGrad: Amn                         :      0.583u      0.000s      0.173w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.300u      0.050s      0.102w     24 calls
JKGrad: UV                          :      0.000u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.100u      0.000s      0.036w     24 calls
JKGrad: Amnx                        :      0.983u      0.017s      0.291w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.317u      0.000s      0.083w     24 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.000s      0.055w     24 calls
DFH: initialize()                   :      0.833u      0.083s      0.293w     24 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.041w     72 calls
| DFH: AO Construction              :      0.267u      0.000s      0.071w     24 calls
| DFH: AO-Met. Contraction          :      0.083u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.117u      0.000s      0.032w     24 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     24 calls
HF: Guess                           :      0.783u      0.017s      0.249w     24 calls
| SAD Guess                         :      0.733u      0.017s      0.237w     21 calls
HF: Form G                          :      0.150u      0.000s      0.046w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.150u      0.000s      0.043w    208 calls
| | DFH: compute_JK()               :      0.150u      0.000s      0.042w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.117u      0.000s      0.033w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.017s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.367u      0.033s      0.100w    187 calls
| DIISManager::add_entry            :      0.017u      0.017s      0.010w    184 calls
| DIISManager::extrapolate          :      0.017u      0.017s      0.008w    184 calls
| | bMatrix setup                   :      0.000u      0.017s      0.003w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.183u      0.000s      0.042w    187 calls
Grad: V T Perturb                   :      1.517u      0.050s      0.471w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.033u      0.100s      0.634w     24 calls
| JKGrad: Amn                       :      0.583u      0.000s      0.173w     24 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.086w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.300u      0.050s      0.102w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.000u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.100u      0.000s      0.036w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.983u      0.017s      0.291w     24 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.017s      0.085w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:15:10 2022
Timers Off: Wed Jul 20 14:15:16 2022

Wall Time:        6.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.267u      0.067s      0.082w     24 calls
Libint2ERI::Libint2ERI              :      0.900u      0.067s      0.282w    288 calls
DFH: initialize()                   :      0.933u      0.067s      0.300w     24 calls
DFH: AO Construction                :      0.233u      0.000s      0.071w     24 calls
DFH: AO-Met. Contraction            :      0.117u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.100u      0.017s      0.030w     24 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     24 calls
HF: Guess                           :      0.783u      0.033s      0.246w     24 calls
SAD Guess                           :      0.750u      0.033s      0.235w     21 calls
HF: Form G                          :      0.167u      0.000s      0.048w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.167u      0.000s      0.045w    208 calls
DFH: compute_JK()                   :      0.167u      0.000s      0.044w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.000u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.167u      0.000s      0.035w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.350u      0.017s      0.100w    187 calls
DIISManager::add_entry              :      0.050u      0.000s      0.010w    184 calls
DIISManager::extrapolate            :      0.033u      0.017s      0.008w    184 calls
bMatrix setup                       :      0.017u      0.017s      0.003w    184 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.002w    184 calls
New vector                          :      0.000u      0.000s      0.002w    184 calls
HF: Form C                          :      0.117u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.567u      0.017s      0.472w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.000u      0.083s      0.633w     24 calls
JKGrad: Amn                         :      0.550u      0.017s      0.175w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.317u      0.050s      0.102w     24 calls
JKGrad: UV                          :      0.017u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.167u      0.000s      0.036w     24 calls
JKGrad: Amnx                        :      0.933u      0.000s      0.288w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.267u      0.067s      0.082w     24 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.050s      0.055w     24 calls
DFH: initialize()                   :      0.933u      0.067s      0.300w     24 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.052w     72 calls
| DFH: AO Construction              :      0.233u      0.000s      0.071w     24 calls
| DFH: AO-Met. Contraction          :      0.117u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.100u      0.017s      0.030w     24 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     24 calls
HF: Guess                           :      0.783u      0.033s      0.246w     24 calls
| SAD Guess                         :      0.750u      0.033s      0.235w     21 calls
HF: Form G                          :      0.167u      0.000s      0.048w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.167u      0.000s      0.045w    208 calls
| | DFH: compute_JK()               :      0.167u      0.000s      0.044w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.167u      0.000s      0.035w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.350u      0.017s      0.100w    187 calls
| DIISManager::add_entry            :      0.050u      0.000s      0.010w    184 calls
| DIISManager::extrapolate          :      0.033u      0.017s      0.008w    184 calls
| | bMatrix setup                   :      0.017u      0.017s      0.003w    184 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.002w    184 calls
| | New vector                      :      0.000u      0.000s      0.002w    184 calls
HF: Form C                          :      0.117u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.567u      0.017s      0.472w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.000u      0.083s      0.633w     24 calls
| JKGrad: Amn                       :      0.550u      0.017s      0.175w     24 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.017s      0.087w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.317u      0.050s      0.102w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.017u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.167u      0.000s      0.036w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.933u      0.000s      0.288w     24 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.000s      0.086w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:16:15 2022
Timers Off: Wed Jul 20 14:16:22 2022

Wall Time:        6.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.233u      0.000s      0.079w     24 calls
Libint2ERI::Libint2ERI              :      0.817u      0.000s      0.269w    288 calls
DFH: initialize()                   :      0.933u      0.000s      0.287w     24 calls
DFH: AO Construction                :      0.133u      0.000s      0.069w     24 calls
DFH: AO-Met. Contraction            :      0.150u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.083u      0.017s      0.030w     24 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     24 calls
HF: Guess                           :      0.783u      0.250s      0.250w     24 calls
SAD Guess                           :      0.733u      0.250s      0.238w     21 calls
HF: Form G                          :      0.117u      0.000s      0.047w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.117u      0.000s      0.044w    208 calls
DFH: compute_JK()                   :      0.117u      0.000s      0.043w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.017u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.083u      0.000s      0.034w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.283u      0.050s      0.102w    187 calls
DIISManager::add_entry              :      0.000u      0.050s      0.010w    184 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.009w    184 calls
bMatrix setup                       :      0.017u      0.000s      0.004w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.000u      0.000s      0.002w    184 calls
HF: Form C                          :      0.100u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.533u      0.017s      0.471w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.033u      0.033s      0.637w     24 calls
JKGrad: Amn                         :      0.617u      0.017s      0.177w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.300u      0.017s      0.102w     24 calls
JKGrad: UV                          :      0.017u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.100u      0.000s      0.037w     24 calls
JKGrad: Amnx                        :      0.983u      0.000s      0.290w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.233u      0.000s      0.079w     24 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.051w     24 calls
DFH: initialize()                   :      0.933u      0.000s      0.287w     24 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.041w     72 calls
| DFH: AO Construction              :      0.133u      0.000s      0.069w     24 calls
| DFH: AO-Met. Contraction          :      0.150u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.083u      0.017s      0.030w     24 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     24 calls
HF: Guess                           :      0.783u      0.250s      0.250w     24 calls
| SAD Guess                         :      0.733u      0.250s      0.238w     21 calls
HF: Form G                          :      0.117u      0.000s      0.047w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.117u      0.000s      0.044w    208 calls
| | DFH: compute_JK()               :      0.117u      0.000s      0.043w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.083u      0.000s      0.034w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.283u      0.050s      0.102w    187 calls
| DIISManager::add_entry            :      0.000u      0.050s      0.010w    184 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.009w    184 calls
| | bMatrix setup                   :      0.017u      0.000s      0.004w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.000u      0.000s      0.002w    184 calls
HF: Form C                          :      0.100u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.533u      0.017s      0.471w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.033u      0.033s      0.637w     24 calls
| JKGrad: Amn                       :      0.617u      0.017s      0.177w     24 calls
| | Libint2ERI::Libint2ERI          :      0.317u      0.000s      0.088w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.300u      0.017s      0.102w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.017u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.100u      0.000s      0.037w     24 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.983u      0.000s      0.290w     24 calls
| | Libint2ERI::Libint2ERI          :      0.250u      0.000s      0.088w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:22:58 2022
Timers Off: Wed Jul 20 14:23:05 2022

Wall Time:        6.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.233u      0.033s      0.087w     24 calls
Libint2ERI::Libint2ERI              :      0.917u      0.050s      0.274w    288 calls
DFH: initialize()                   :      0.883u      0.133s      0.298w     24 calls
DFH: AO Construction                :      0.200u      0.000s      0.073w     24 calls
DFH: AO-Met. Contraction            :      0.100u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.100u      0.000s      0.030w     24 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w     24 calls
HF: Guess                           :      0.800u      0.050s      0.250w     24 calls
SAD Guess                           :      0.733u      0.050s      0.239w     21 calls
HF: Form G                          :      0.167u      0.017s      0.048w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.133u      0.000s      0.045w    208 calls
DFH: compute_JK()                   :      0.133u      0.000s      0.044w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.017u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.100u      0.000s      0.035w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.250u      0.000s      0.101w    187 calls
DIISManager::add_entry              :      0.083u      0.000s      0.011w    184 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.008w    184 calls
bMatrix setup                       :      0.017u      0.000s      0.003w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.000u      0.000s      0.002w    184 calls
HF: Form C                          :      0.100u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.600u      0.033s      0.472w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.000u      0.033s      0.635w     24 calls
JKGrad: Amn                         :      0.567u      0.000s      0.174w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.317u      0.033s      0.102w     24 calls
JKGrad: UV                          :      0.000u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.183u      0.000s      0.037w     24 calls
JKGrad: Amnx                        :      0.883u      0.000s      0.289w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.233u      0.033s      0.087w     24 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.033s      0.059w     24 calls
DFH: initialize()                   :      0.883u      0.133s      0.298w     24 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.017s      0.042w     72 calls
| DFH: AO Construction              :      0.200u      0.000s      0.073w     24 calls
| DFH: AO-Met. Contraction          :      0.100u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.100u      0.000s      0.030w     24 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w     24 calls
HF: Guess                           :      0.800u      0.050s      0.250w     24 calls
| SAD Guess                         :      0.733u      0.050s      0.239w     21 calls
HF: Form G                          :      0.167u      0.017s      0.048w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.133u      0.000s      0.045w    208 calls
| | DFH: compute_JK()               :      0.133u      0.000s      0.044w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.100u      0.000s      0.035w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.250u      0.000s      0.101w    187 calls
| DIISManager::add_entry            :      0.083u      0.000s      0.011w    184 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.008w    184 calls
| | bMatrix setup                   :      0.017u      0.000s      0.003w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.000u      0.000s      0.002w    184 calls
HF: Form C                          :      0.100u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.600u      0.033s      0.472w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.000u      0.033s      0.635w     24 calls
| JKGrad: Amn                       :      0.567u      0.000s      0.174w     24 calls
| | Libint2ERI::Libint2ERI          :      0.317u      0.000s      0.086w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.317u      0.033s      0.102w     24 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.000u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.183u      0.000s      0.037w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.883u      0.000s      0.289w     24 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.085w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:25:43 2022
Timers Off: Wed Jul 20 14:25:50 2022

Wall Time:        7.12 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.267u      0.017s      0.090w     24 calls
Libint2ERI::Libint2ERI              :      1.000u      0.067s      0.281w    288 calls
DFH: initialize()                   :      0.900u      0.033s      0.323w     24 calls
DFH: AO Construction                :      0.217u      0.017s      0.070w     24 calls
DFH: AO-Met. Contraction            :      0.083u      0.000s      0.026w     24 calls
HF: Form core H                     :      0.117u      0.000s      0.031w     24 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w     24 calls
HF: Guess                           :      0.817u      0.017s      0.296w     24 calls
SAD Guess                           :      0.783u      0.017s      0.285w     21 calls
HF: Form G                          :      0.150u      0.017s      0.050w    208 calls
JK: D                               :      0.017u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.133u      0.017s      0.046w    208 calls
DFH: compute_JK()                   :      0.133u      0.017s      0.045w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.000u      0.000s      0.007w    208 calls
DFH: compute_K                      :      0.133u      0.000s      0.035w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.383u      0.017s      0.109w    187 calls
DIISManager::add_entry              :      0.033u      0.017s      0.013w    184 calls
DIISManager::extrapolate            :      0.050u      0.000s      0.011w    184 calls
bMatrix setup                       :      0.033u      0.000s      0.005w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.133u      0.000s      0.045w    187 calls
Grad: V T Perturb                   :      1.600u      0.050s      0.483w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.083u      0.200s      0.679w     24 calls
JKGrad: Amn                         :      0.567u      0.067s      0.180w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.350u      0.033s      0.112w     24 calls
JKGrad: UV                          :      0.017u      0.000s      0.007w     24 calls
JKGrad: ABx                         :      0.133u      0.017s      0.038w     24 calls
JKGrad: Amnx                        :      0.950u      0.017s      0.294w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.267u      0.017s      0.090w     24 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.017s      0.061w     24 calls
DFH: initialize()                   :      0.900u      0.033s      0.323w     24 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.043w     72 calls
| DFH: AO Construction              :      0.217u      0.017s      0.070w     24 calls
| DFH: AO-Met. Contraction          :      0.083u      0.000s      0.026w     24 calls
HF: Form core H                     :      0.117u      0.000s      0.031w     24 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w     24 calls
HF: Guess                           :      0.817u      0.017s      0.296w     24 calls
| SAD Guess                         :      0.783u      0.017s      0.285w     21 calls
HF: Form G                          :      0.150u      0.017s      0.050w    208 calls
| JK: D                             :      0.017u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.133u      0.017s      0.046w    208 calls
| | DFH: compute_JK()               :      0.133u      0.017s      0.045w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.007w    208 calls
| | | DFH: compute_K                :      0.133u      0.000s      0.035w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.383u      0.017s      0.109w    187 calls
| DIISManager::add_entry            :      0.033u      0.017s      0.013w    184 calls
| DIISManager::extrapolate          :      0.050u      0.000s      0.011w    184 calls
| | bMatrix setup                   :      0.033u      0.000s      0.005w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.133u      0.000s      0.045w    187 calls
Grad: V T Perturb                   :      1.600u      0.050s      0.483w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.083u      0.200s      0.679w     24 calls
| JKGrad: Amn                       :      0.567u      0.067s      0.180w     24 calls
| | Libint2ERI::Libint2ERI          :      0.317u      0.050s      0.088w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.350u      0.033s      0.112w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.017u      0.000s      0.007w     24 calls
| JKGrad: ABx                       :      0.133u      0.017s      0.038w     24 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.950u      0.017s      0.294w     24 calls
| | Libint2ERI::Libint2ERI          :      0.317u      0.000s      0.086w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:26:31 2022
Timers Off: Wed Jul 20 14:26:38 2022

Wall Time:        6.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.183u      0.000s      0.082w     24 calls
Libint2ERI::Libint2ERI              :      0.783u      0.017s      0.276w    288 calls
DFH: initialize()                   :      0.883u      0.050s      0.297w     24 calls
DFH: AO Construction                :      0.217u      0.000s      0.071w     24 calls
DFH: AO-Met. Contraction            :      0.117u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.067u      0.000s      0.030w     24 calls
HF: Form S/X                        :      0.017u      0.017s      0.004w     24 calls
HF: Guess                           :      0.833u      0.017s      0.259w     24 calls
